Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A7K5HXZ1	A0A7K5HXZ1_CROSL	ELMO2 protein	Elmo2 CROSUL_R06292	Crotophaga sulcirostris (Groove-billed ani)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5J6M2	A0A7K5J6M2_TOXRE	ELMO2 protein	Elmo2 TOXRED_R10590	Toxostoma redivivum (California thrasher)	715	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5J7R0	A0A7K5J7R0_TOXRE	ELMO3 protein	Elmo3 TOXRED_R00721	Toxostoma redivivum (California thrasher)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5JLB7	A0A7K5JLB7_9TYRA	ELMO1 protein	Elmo1_0 MIOMAC_R15509	Mionectes macconnelli (McConnell's flycatcher)	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5K2G5	A0A7K5K2G5_9TYRA	ELMO2 protein	Elmo2 MIOMAC_R00274	Mionectes macconnelli (McConnell's flycatcher)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5KFP2	A0A7K5KFP2_9TYRA	ELMO3 protein	Elmo3 MIOMAC_R03567	Mionectes macconnelli (McConnell's flycatcher)	655	DOMAIN 243..416; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5KY82	A0A7K5KY82_VIRAL	ELMO2 protein	Elmo2 VIRALT_R13613	Vireo altiloquus (Black-whiskered vireo)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5LC38	A0A7K5LC38_VIRAL	ELMO1 protein	Elmo1 VIRALT_R02546	Vireo altiloquus (Black-whiskered vireo)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5LJG2	A0A7K5LJG2_VIRAL	ELMO3 protein	Elmo3 VIRALT_R11992	Vireo altiloquus (Black-whiskered vireo)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5M527	A0A7K5M527_CARCD	ELMO2 protein	Elmo2 CARCAR_R10263	Cardinalis cardinalis (Northern cardinal)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5MND6	A0A7K5MND6_CARCD	ELMO1 protein	Elmo1 CARCAR_R06324	Cardinalis cardinalis (Northern cardinal)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5MX18	A0A7K5MX18_CARCD	ELMO3 protein	Elmo3 CARCAR_R02929	Cardinalis cardinalis (Northern cardinal)	696	DOMAIN 284..457; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5MXR1	A0A7K5MXR1_CHRMC	ELMO2 protein	Elmo2 CHRMAC_R01491	Chroicocephalus maculipennis (Brown-hooded gull) (Larus maculipennis)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5NDL5	A0A7K5NDL5_CHRMC	CRK protein	Crk CHRMAC_R01711	Chroicocephalus maculipennis (Brown-hooded gull) (Larus maculipennis)	304	DOMAIN 13..118; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 132..192; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 235..296; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5NIR7	A0A7K5NIR7_CHRMC	ELMO1 protein	Elmo1 CHRMAC_R12758	Chroicocephalus maculipennis (Brown-hooded gull) (Larus maculipennis)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5NU61	A0A7K5NU61_CHRMC	ELMO3 protein	Elmo3 CHRMAC_R06701	Chroicocephalus maculipennis (Brown-hooded gull) (Larus maculipennis)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5PCY3	A0A7K5PCY3_9CORV	ELMO2 protein	Elmo2 ERYMCC_R10401	Erythrocercus mccallii	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5PGG0	A0A7K5PGG0_9CORV	ELMO1 protein	Elmo1 ERYMCC_R11557	Erythrocercus mccallii	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5PVH5	A0A7K5PVH5_9CORV	ELMO3 protein	Elmo3 ERYMCC_R00528	Erythrocercus mccallii	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5QJH2	A0A7K5QJH2_9PASE	ELMO2 protein	Elmo2 PRUHIM_R07358	Prunella himalayana	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5R7W7	A0A7K5R7W7_9PASE	ELMO3 protein	Elmo3 PRUHIM_R11386	Prunella himalayana	696	DOMAIN 284..457; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5RIY8	A0A7K5RIY8_LANLU	CRK protein	Crk LANLUD_R14049	Lanius ludovicianus (Loggerhead shrike)	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5RNQ4	A0A7K5RNQ4_LANLU	ELMO1 protein	Elmo1 LANLUD_R09584	Lanius ludovicianus (Loggerhead shrike)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5RYB0	A0A7K5RYB0_LANLU	ELMO2 protein	Elmo2 LANLUD_R01519	Lanius ludovicianus (Loggerhead shrike)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5S1Y4	A0A7K5S1Y4_LANLU	ELMO3 protein	Elmo3 LANLUD_R00223	Lanius ludovicianus (Loggerhead shrike)	679	DOMAIN 267..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5SHM4	A0A7K5SHM4_9FRIN	CRK protein	Crk UROPYL_R08297	Urocynchramus pylzowi	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5SR96	A0A7K5SR96_9FRIN	ELMO3 protein	Elmo3 UROPYL_R02997	Urocynchramus pylzowi	688	DOMAIN 277..450; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5TFE2	A0A7K5TFE2_9FRIN	ELMO2 protein	Elmo2 UROPYL_R07528	Urocynchramus pylzowi	713	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5U9Z6	A0A7K5U9Z6_CEPOR	ELMO3 protein	Elmo3 CEPORN_R05044	Cephalopterus ornatus (Amazonian umbrellabird)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5UIA4	A0A7K5UIA4_CEPOR	ELMO2 protein	Elmo2 CEPORN_R07414	Cephalopterus ornatus (Amazonian umbrellabird)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5USY1	A0A7K5USY1_9CORV	ELMO3 protein	Elmo3 DYACAS_R11291	Platysteira castanea	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5V435	A0A7K5V435_9CORV	ELMO1 protein	Elmo1 DYACAS_R09070	Platysteira castanea	755	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5VQB9	A0A7K5VQB9_9CORV	ELMO2 protein	Elmo2 DYACAS_R13471	Platysteira castanea	724	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5W1V5	A0A7K5W1V5_9SYLV	ELMO2 protein	Elmo2 HYLPRA_R10176	Hylia prasina (green hylia)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5WGH5	A0A7K5WGH5_9SYLV	CRK protein	Crk HYLPRA_R09319	Hylia prasina (green hylia)	235	DOMAIN 63..123; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 166..227; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5WR11	A0A7K5WR11_9SYLV	ELMO3 protein	Elmo3 HYLPRA_R00940	Hylia prasina (green hylia)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5XSD5	A0A7K5XSD5_9CHAR	ELMO2 protein	Elmo2 DROARD_R01544	Dromas ardeola	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5XXA9	A0A7K5XXA9_9CHAR	ELMO1 protein	Elmo1_0 DROARD_R15307	Dromas ardeola	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5Y2Q5	A0A7K5Y2Q5_9CHAR	CRK protein	Crk DROARD_R00270	Dromas ardeola	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5Y363	A0A7K5Y363_9CHAR	ELMO3 protein	Elmo3 DROARD_R03422	Dromas ardeola	730	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5YP09	A0A7K5YP09_9AVES	ELMO1 protein	Elmo1 PTEBUR_R09606	Pterocles burchelli	727	DOMAIN 315..488; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5YVR5	A0A7K5YVR5_9AVES	CRK protein	Crk PTEBUR_R03653	Pterocles burchelli	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K5YYA2	A0A7K5YYA2_9AVES	ELMO2 protein	Elmo2 PTEBUR_R06167	Pterocles burchelli	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5YYP5	A0A7K5YYP5_9AVES	ELMO3 protein	Elmo3 PTEBUR_R09453	Pterocles burchelli	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5ZKJ0	A0A7K5ZKJ0_ONYCO	ELMO3 protein	Elmo3 ONYCOR_R09140	Onychorhynchus coronatus (Royal flycatcher)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K5ZLK9	A0A7K5ZLK9_ONYCO	ELMO2 protein	Elmo2 ONYCOR_R00058	Onychorhynchus coronatus (Royal flycatcher)	747	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6A553	A0A7K6A553_ONYCO	ELMO1 protein	Elmo1 ONYCOR_R02668	Onychorhynchus coronatus (Royal flycatcher)	595	DOMAIN 169..342; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6ALT6	A0A7K6ALT6_UPUEP	ELMO1 protein	Elmo1_0 UPUEPO_R14956	Upupa epops (Eurasian hoopoe)	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6AUK6	A0A7K6AUK6_UPUEP	CRK protein	Crk UPUEPO_R04741	Upupa epops (Eurasian hoopoe)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6B2C0	A0A7K6B2C0_UPUEP	ELMO3 protein	Elmo3 UPUEPO_R11556	Upupa epops (Eurasian hoopoe)	722	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6BE63	A0A7K6BE63_UPUEP	ELMO2 protein	Elmo2 UPUEPO_R13262	Upupa epops (Eurasian hoopoe)	470	DOMAIN 61..235; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6BL86	A0A7K6BL86_PTIVI	ELMO1 protein	Elmo1 PTIVIO_R11461	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6C0Z3	A0A7K6C0Z3_PTIVI	ELMO3 protein	Elmo3 PTIVIO_R03945	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6C807	A0A7K6C807_PTIVI	ELMO2 protein	Elmo2 PTIVIO_R06126	Ptilonorhynchus violaceus (Satin bowerbird) (Pyrrhocorax violaceus)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6D901	A0A7K6D901_9PASS	ELMO2 protein	Elmo2 ORISOL_R07418	Origma solitaria	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6DLA7	A0A7K6DLA7_9PASS	ELMO1 protein	Elmo1 ORISOL_R01020	Origma solitaria	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6DP41	A0A7K6DP41_9PASS	ELMO3 protein	Elmo3 ORISOL_R08443	Origma solitaria	727	DOMAIN 315..488; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6E208	A0A7K6E208_9PASS	ELMO1 protein	Elmo1 GRAPIC_R05379	Grantiella picta	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6E4X4	A0A7K6E4X4_9PASS	CRK protein	Crk GRAPIC_R14513	Grantiella picta	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6EMG6	A0A7K6EMG6_9PASS	ELMO2 protein	Elmo2 GRAPIC_R04527	Grantiella picta	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6F227	A0A7K6F227_9PASS	ELMO3 protein	Elmo3 GRAPIC_R06528	Grantiella picta	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6F5C0	A0A7K6F5C0_9CORV	ELMO2 protein	Elmo2 DAPCHR_R13368	Daphoenositta chrysoptera (varied sittella)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6FRW1	A0A7K6FRW1_9CORV	ELMO1 protein	Elmo1 DAPCHR_R03972	Daphoenositta chrysoptera (varied sittella)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6G034	A0A7K6G034_9CORV	ELMO3 protein	Elmo3 DAPCHR_R05645	Daphoenositta chrysoptera (varied sittella)	696	DOMAIN 284..457; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6GI15	A0A7K6GI15_9PASS	ELMO1 protein	Elmo1_0 MALELE_R15120	Malurus elegans (Red-winged fairywren)	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6GQR6	A0A7K6GQR6_9PASS	ELMO3 protein	Elmo3 MALELE_R02059	Malurus elegans (Red-winged fairywren)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6H4E2	A0A7K6H4E2_9PASS	ELMO2 protein	Elmo2 MALELE_R11756	Malurus elegans (Red-winged fairywren)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6HAJ4	A0A7K6HAJ4_9PASS	ELMO3 protein	Elmo3 DASBRO_R08824	Dasyornis broadbenti (rufous bristle-bird)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6HMN3	A0A7K6HMN3_9PASS	ELMO2 protein	Elmo2 DASBRO_R14177	Dasyornis broadbenti (rufous bristle-bird)	724	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6I0M7	A0A7K6I0M7_9PASS	ELMO1 protein	Elmo1 DASBRO_R02702	Dasyornis broadbenti (rufous bristle-bird)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6IR93	A0A7K6IR93_9CORV	CRK protein	Crk MACNIG_R03266	Machaerirhynchus nigripectus	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6J6K5	A0A7K6J6K5_9CORV	ELMO3 protein	Elmo3 MACNIG_R14429	Machaerirhynchus nigripectus	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6J802	A0A7K6J802_9CORV	ELMO2 protein	Elmo2 MACNIG_R09119	Machaerirhynchus nigripectus	696	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6J8N1	A0A7K6J8N1_9CORV	ELMO1 protein	Elmo1 MACNIG_R13044	Machaerirhynchus nigripectus	548	DOMAIN 136..309; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6JTH2	A0A7K6JTH2_9PASE	ELMO2 protein	Elmo2 OREARF_R01770	Oreocharis arfaki (tit berrypecker)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6K2S2	A0A7K6K2S2_9PASE	ELMO1 protein	Elmo1 OREARF_R00704	Oreocharis arfaki (tit berrypecker)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6K6B3	A0A7K6K6B3_9PASE	ELMO3 protein	Elmo3 OREARF_R10806	Oreocharis arfaki (tit berrypecker)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6L9C3	A0A7K6L9C3_9CORV	ELMO3 protein	Elmo3 FALFRO_R08532	Falcunculus frontatus (Eastern shriketit)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6LCD9	A0A7K6LCD9_9CORV	ELMO2 protein	Elmo2 FALFRO_R06124	Falcunculus frontatus (Eastern shriketit)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6LTA2	A0A7K6LTA2_9CORV	ELMO1 protein	Elmo1 FALFRO_R04498	Falcunculus frontatus (Eastern shriketit)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6M2N6	A0A7K6M2N6_PANBI	ELMO2 protein	Elmo2 PANBIA_R10829	Panurus biarmicus (Bearded tit)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6MAT1	A0A7K6MAT1_PANBI	ELMO3 protein	Elmo3 PANBIA_R04256	Panurus biarmicus (Bearded tit)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6NCG9	A0A7K6NCG9_PEDTO	CRKL protein	Crkl PEDTOR_R10496	Pedionomus torquatus (Plains-wanderer)	289	DOMAIN 1..89; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 110..170; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 221..282; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6NES5	A0A7K6NES5_PEDTO	ELMO2 protein	Elmo2 PEDTOR_R03713	Pedionomus torquatus (Plains-wanderer)	692	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6NF84	A0A7K6NF84_PEDTO	ELMO3 protein	Elmo3 PEDTOR_R11775	Pedionomus torquatus (Plains-wanderer)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6P1Z1	A0A7K6P1Z1_PEDTO	CRK protein	Crk PEDTOR_R03689	Pedionomus torquatus (Plains-wanderer)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6P855	A0A7K6P855_9CORV	ELMO3 protein	Elmo3 IFRKOW_R04793	Ifrita kowaldi (blue-capped ifrita)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6Q2D4	A0A7K6Q2D4_9CORV	ELMO2 protein	Elmo2 IFRKOW_R03020	Ifrita kowaldi (blue-capped ifrita)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6Q3S6	A0A7K6Q3S6_9CORV	ELMO1 protein	Elmo1 IFRKOW_R12829	Ifrita kowaldi (blue-capped ifrita)	743	DOMAIN 331..504; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6QIQ4	A0A7K6QIQ4_9PASS	ELMO3 protein	Elmo3 CLIRUF_R12740	Climacteris rufus (rufous treecreeper)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6QV93	A0A7K6QV93_9PASS	ELMO2 protein	Elmo2 CLIRUF_R00121	Climacteris rufus (rufous treecreeper)	707	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6QWY2	A0A7K6QWY2_9PASS	ELMO1 protein	Elmo1 CLIRUF_R09970	Climacteris rufus (rufous treecreeper)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6RGD9	A0A7K6RGD9_9GRUI	ELMO3 protein	Elmo3 RHYJUB_R11469	Rhynochetos jubatus (kagu)	679	DOMAIN 267..440; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6RHY3	A0A7K6RHY3_9GRUI	ELMO2 protein	Elmo2 RHYJUB_R04567	Rhynochetos jubatus (kagu)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6S6L8	A0A7K6S6L8_9GRUI	CRK protein	Crk RHYJUB_R09059	Rhynochetos jubatus (kagu)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6S7A7	A0A7K6S7A7_9GRUI	ELMO1 protein	Elmo1 RHYJUB_R14416	Rhynochetos jubatus (kagu)	369	DOMAIN 1..130; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6SQH2	A0A7K6SQH2_CALNI	ELMO2 protein	Elmo2 CALNIC_R01933	Caloenas nicobarica (Nicobar pigeon)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6T0J6	A0A7K6T0J6_CALNI	ELMO3 protein	Elmo3 CALNIC_R05621	Caloenas nicobarica (Nicobar pigeon)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6T3I8	A0A7K6T3I8_CALNI	CRK protein	Crk CALNIC_R03244	Caloenas nicobarica (Nicobar pigeon)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6TDB9	A0A7K6TDB9_CALNI	ELMO1 protein	Elmo1 CALNIC_R05478	Caloenas nicobarica (Nicobar pigeon)	740	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6TNT9	A0A7K6TNT9_9AVES	ELMO2 protein	Elmo2 AEGBEN_R00324	Aegotheles bennettii	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6U1A7	A0A7K6U1A7_9AVES	ELMO1 protein	Elmo1 AEGBEN_R14868	Aegotheles bennettii	288	DOMAIN 1..49; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6UE19	A0A7K6UE19_9AVES	CRK protein	Crk AEGBEN_R04473	Aegotheles bennettii	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6URB2	A0A7K6URB2_9AVES	ELMO3 protein	Elmo3 AEGBEN_R02205	Aegotheles bennettii	686	DOMAIN 274..447; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6UUM4	A0A7K6UUM4_9PASS	CRK protein	Crk_0 NOTCIN_R12761	Notiomystis cincta	65	DOMAIN 13..65; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"
A0A7K6VD14	A0A7K6VD14_9PASS	CRK protein	Crk_1 NOTCIN_R05939	Notiomystis cincta	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A7K6VEF4	A0A7K6VEF4_9PASS	ELMO3 protein	Elmo3 NOTCIN_R00699	Notiomystis cincta	649	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6VVI8	A0A7K6VVI8_9PASS	ELMO2 protein	Elmo2 NOTCIN_R12361	Notiomystis cincta	704	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6W504	A0A7K6W504_STECA	ELMO1 protein	Elmo1 STECAR_R14368	Steatornis caripensis (Oilbird)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6WP72	A0A7K6WP72_STECA	ELMO3 protein	Elmo3 STECAR_R07799	Steatornis caripensis (Oilbird)	719	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A7K6WYK9	A0A7K6WYK9_STECA	ELMO2 protein	Elmo2 STECAR_R09014	Steatornis caripensis (Oilbird)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
